"","area","date","source","med_inc"
"165","Manawatu District",2018-03-31,"Census, median household income",68500
"166","Marlborough District",1996-03-31,"Census, median household income",30100
"167","Marlborough District",2001-03-31,"Census, median household income",33600
"168","Marlborough District",2006-03-31,"Census, median household income",45500
"169","Marlborough District",2013-03-31,"Census, median household income",55200
"170","Marlborough District",2018-03-31,"Census, median household income",65100
"171","Marlborough Region",1996-03-31,"Census, median household income",30100
"172","Marlborough Region",2001-03-31,"Census, median household income",33600
"173","Marlborough Region",2006-03-31,"Census, median household income",45500
"174","Marlborough Region",2013-03-31,"Census, median household income",55200
"175","Marlborough Region",2018-03-31,"Census, median household income",65100
"176","Masterton District",1996-03-31,"Census, median household income",28800
"177","Masterton District",2001-03-31,"Census, median household income",31300
"178","Masterton District",2006-03-31,"Census, median household income",39733.3333333333
"179","Masterton District",2013-03-31,"Census, median household income",48600
"180","Masterton District",2018-03-31,"Census, median household income",57700
"181","Matamata-Piako District",1996-03-31,"Census, median household income",37100
"182","Matamata-Piako District",2001-03-31,"Census, median household income",40700
"183","Matamata-Piako District",2006-03-31,"Census, median household income",49100
"184","Matamata-Piako District",2013-03-31,"Census, median household income",59250
"185","Matamata-Piako District",2018-03-31,"Census, median household income",68800
"186","Napier City",1996-03-31,"Census, median household income",30000
"187","Napier City",2001-03-31,"Census, median household income",32800
"188","Napier City",2006-03-31,"Census, median household income",43433.3333333333
"189","Napier City",2013-03-31,"Census, median household income",51900
"190","Napier City",2018-03-31,"Census, median household income",61100
"191","Nelson City",1996-03-31,"Census, median household income",31300
"192","Nelson City",2001-03-31,"Census, median household income",33600
"193","Nelson City",2006-03-31,"Census, median household income",43900
"194","Nelson City",2013-03-31,"Census, median household income",54300
"195","Nelson City",2018-03-31,"Census, median household income",63300
"196","Nelson Region",1996-03-31,"Census, median household income",31300
"197","Nelson Region",2001-03-31,"Census, median household income",33600
"198","Nelson Region",2006-03-31,"Census, median household income",43900
"199","Nelson Region",2013-03-31,"Census, median household income",54300
"200","Nelson Region",2018-03-31,"Census, median household income",63300
"201","New Plymouth District",1996-03-31,"Census, median household income",31600
"202","New Plymouth District",2001-03-31,"Census, median household income",32800
"203","New Plymouth District",2006-03-31,"Census, median household income",44700
"204","New Plymouth District",2013-03-31,"Census, median household income",59850
"205","New Plymouth District",2018-03-31,"Census, median household income",66100
"206","New Zealand",1996-03-31,"Census, median household income",34700
"207","New Zealand",2001-03-31,"Census, median household income",39600
"208","New Zealand",2006-03-31,"Census, median household income",51400
"209","New Zealand",2013-03-31,"Census, median household income",63800
"210","New Zealand",2018-03-31,"Census, median household income",75700
"211","Northland Region",1996-03-31,"Census, median household income",27800
"212","Northland Region",2001-03-31,"Census, median household income",30200
"213","Northland Region",2006-03-31,"Census, median household income",40200
"214","Northland Region",2013-03-31,"Census, median household income",46900
"215","Northland Region",2018-03-31,"Census, median household income",57000
