"date","Area","sector","type","value","concept"
1993-06-30,"Tasman District","All sectors","geomean_rent",129.718239202036,"Start date, Flow"
1993-06-30,"South Wairarapa District","All sectors","geomean_rent",108.398954856107,"Start date, Flow"
1993-06-30,"Waimakariri District","All sectors","geomean_rent",137.636123959027,"Start date, Flow"
1993-06-30,"Waitaki District","All sectors","geomean_rent",81.9499148607283,"Start date, Flow"
1993-06-30,"Kaipara District","All sectors","geomean_rent",90.7605377712986,"Start date, Flow"
1993-06-30,"Western Bay of Plenty District","All sectors","geomean_rent",125.24786197636,"Start date, Flow"
1993-06-30,"Clutha District","All sectors","geomean_rent",71.2907051850139,"Start date, Flow"
1993-06-30,"Southland District","All sectors","geomean_rent",72.2634323200378,"Start date, Flow"
1993-06-30,"Central Hawkes Bay District","All sectors","geomean_rent",106.615962580511,"Start date, Flow"
1993-06-30,"Carterton District","All sectors","geomean_rent",101.43732623154,"Start date, Flow"
1993-06-30,"Westland District","All sectors","geomean_rent",97.3427447438216,"Start date, Flow"
1993-06-30,"Buller District","All sectors","geomean_rent",88.5395657395674,"Start date, Flow"
1993-06-30,"Waimate District","All sectors","geomean_rent",81.6960050342483,"Start date, Flow"
1993-06-30,"Hurunui District","All sectors","geomean_rent",89.3155624295526,"Start date, Flow"
1993-06-30,"Waitomo District","All sectors","geomean_rent",83.5245504952479,"Start date, Flow"
1993-06-30,"Selwyn District","All sectors","geomean_rent",109.944059448271,"Start date, Flow"
1993-06-30,"Otorohanga District","All sectors","geomean_rent",94.6400194333572,"Start date, Flow"
1993-09-30,"Chatham Islands","All sectors","geomean_rent",184.446374444236,"Start date, Flow"
1993-09-30,"Tauranga City","All sectors","geomean_rent",150.995617860119,"Start date, Flow"
1993-09-30,"Western Bay of Plenty District","All sectors","geomean_rent",123.982409558351,"Start date, Flow"
1993-09-30,"Wellington City","All sectors","geomean_rent",168.128768762653,"Start date, Flow"
1993-09-30,"Dunedin City","All sectors","geomean_rent",126.224553516895,"Start date, Flow"
1993-09-30,"Hamilton City","All sectors","geomean_rent",134.980522378457,"Start date, Flow"
1993-09-30,"South Waikato District","All sectors","geomean_rent",104.29853396326,"Start date, Flow"
1993-09-30,"Masterton District","All sectors","geomean_rent",110.418521299448,"Start date, Flow"
1993-09-30,"Christchurch City","All sectors","geomean_rent",143.849288907499,"Start date, Flow"
1993-09-30,"Hutt City","All sectors","geomean_rent",146.278914101547,"Start date, Flow"
1993-09-30,"Grey District","All sectors","geomean_rent",107.095410302091,"Start date, Flow"
1993-09-30,"Timaru District","All sectors","geomean_rent",104.559547308072,"Start date, Flow"
1993-09-30,"Rotorua District","All sectors","geomean_rent",130.488168811515,"Start date, Flow"
1993-09-30,"Horowhenua District","All sectors","geomean_rent",117.108789207869,"Start date, Flow"
1993-09-30,"Whanganui District","All sectors","geomean_rent",112.030067302852,"Start date, Flow"
1993-09-30,"Far North District","All sectors","geomean_rent",113.513204013075,"Start date, Flow"
1993-09-30,"Southland District","All sectors","geomean_rent",75.8916385477461,"Start date, Flow"
1993-09-30,"Palmerston North City","All sectors","geomean_rent",140.583137302672,"Start date, Flow"
1993-09-30,"Tasman District","All sectors","geomean_rent",139.49476668753,"Start date, Flow"
1993-09-30,"Kawerau District","All sectors","geomean_rent",113.572725115956,"Start date, Flow"
1993-09-30,"Gisborne District","All sectors","geomean_rent",125.840522338804,"Start date, Flow"
1993-09-30,"Hastings District","All sectors","geomean_rent",136.184613619715,"Start date, Flow"
1993-09-30,"Nelson City","All sectors","geomean_rent",147.774830209166,"Start date, Flow"
1993-09-30,"Queenstown Lakes District","All sectors","geomean_rent",180.440839753239,"Start date, Flow"
1993-09-30,"Ruapehu District","All sectors","geomean_rent",91.3437435900265,"Start date, Flow"
1993-09-30,"Matamata Piako District","All sectors","geomean_rent",111.83142981919,"Start date, Flow"
1993-09-30,"Taupo District","All sectors","geomean_rent",126.137652900427,"Start date, Flow"
1993-09-30,"Napier City","All sectors","geomean_rent",136.415198932688,"Start date, Flow"
1993-09-30,"Manawatu District","All sectors","geomean_rent",129.666269691743,"Start date, Flow"
1993-09-30,"Waimakariri District","All sectors","geomean_rent",137.662772058623,"Start date, Flow"
1993-09-30,"Marlborough District","All sectors","geomean_rent",128.921567288339,"Start date, Flow"
1993-09-30,"Thames Coromandel District","All sectors","geomean_rent",124.303949726403,"Start date, Flow"
1993-09-30,"Whangarei District","All sectors","geomean_rent",113.392103731387,"Start date, Flow"
1993-09-30,"Whakatane District","All sectors","geomean_rent",128.461093739601,"Start date, Flow"
1993-09-30,"New Plymouth District","All sectors","geomean_rent",129.556065347102,"Start date, Flow"
1993-09-30,"Opotiki District","All sectors","geomean_rent",95.6080849285287,"Start date, Flow"
1993-09-30,"Hurunui District","All sectors","geomean_rent",74.4817045685491,"Start date, Flow"
1993-09-30,"Ashburton District","All sectors","geomean_rent",109.848742096898,"Start date, Flow"
1993-09-30,"Kapiti Coast District","All sectors","geomean_rent",144.270381978878,"Start date, Flow"
1993-09-30,"Porirua City","All sectors","geomean_rent",154.787917854079,"Start date, Flow"
1993-09-30,"Rangitikei District","All sectors","geomean_rent",97.7139638511083,"Start date, Flow"
1993-09-30,"Tararua District","All sectors","geomean_rent",94.0862741258504,"Start date, Flow"
1993-09-30,"Wairoa District","All sectors","geomean_rent",99.8813087520572,"Start date, Flow"
1993-09-30,"Invercargill City","All sectors","geomean_rent",102.490024813442,"Start date, Flow"
1993-09-30,"Waikato District","All sectors","geomean_rent",108.614234219617,"Start date, Flow"
1993-09-30,"Waimate District","All sectors","geomean_rent",91.3628069067575,"Start date, Flow"
1993-09-30,"Carterton District","All sectors","geomean_rent",103.381839790254,"Start date, Flow"
1993-09-30,"Upper Hutt City","All sectors","geomean_rent",145.534445487508,"Start date, Flow"
1993-09-30,"South Wairarapa District","All sectors","geomean_rent",103.921303777576,"Start date, Flow"
1993-09-30,"South Taranaki District","All sectors","geomean_rent",101.433839396393,"Start date, Flow"
1993-09-30,"Waipa District","All sectors","geomean_rent",131.932495188459,"Start date, Flow"
1993-09-30,"Selwyn District","All sectors","geomean_rent",128.956557251753,"Start date, Flow"
1993-09-30,"Stratford District","All sectors","geomean_rent",95.1228781167113,"Start date, Flow"
1993-09-30,"Gore District","All sectors","geomean_rent",89.1563620354717,"Start date, Flow"
1993-09-30,"Central Otago District","All sectors","geomean_rent",108.972699872018,"Start date, Flow"
1993-09-30,"Hauraki District","All sectors","geomean_rent",111.317201510906,"Start date, Flow"
1993-09-30,"Central Hawkes Bay District","All sectors","geomean_rent",113.740090928739,"Start date, Flow"
1993-09-30,"Clutha District","All sectors","geomean_rent",77.1012158110371,"Start date, Flow"
1993-09-30,"Waitaki District","All sectors","geomean_rent",90.7344600982666,"Start date, Flow"
1993-09-30,"Kaipara District","All sectors","geomean_rent",101.901888708666,"Start date, Flow"
1993-09-30,"Waitomo District","All sectors","geomean_rent",86.6128965788581,"Start date, Flow"
1993-09-30,"Westland District","All sectors","geomean_rent",118.395022420883,"Start date, Flow"
1993-09-30,"Buller District","All sectors","geomean_rent",81.6859794641015,"Start date, Flow"
1993-09-30,"Kaikoura District","All sectors","geomean_rent",108.505422032136,"Start date, Flow"
1993-09-30,"MacKenzie District","All sectors","geomean_rent",69.6870676131862,"Start date, Flow"
1993-09-30,"Otorohanga District","All sectors","geomean_rent",103.292460485807,"Start date, Flow"
1993-12-31,"Waikato District","All sectors","geomean_rent",108.927351575434,"Start date, Flow"
1993-12-31,"Chatham Islands","All sectors","geomean_rent",187.086293841825,"Start date, Flow"
1993-12-31,"Wellington City","All sectors","geomean_rent",168.328427308708,"Start date, Flow"
1993-12-31,"Marlborough District","All sectors","geomean_rent",133.579491628987,"Start date, Flow"
